,year,country,sentence
2919,1939,Australia,"Commonwealth nation , Australia follow Britain lead , Prim e Minister Robert Menzies announce declaration war Germany September 3 , 1939 "
2920,1939,Australia,"Australia declare war Germany September 3 , 1939 , army numbered 82,800 men , include 80,000 poorly train volunteer militia "
2921,1939,Australia,"1939 1940 , Christie command Submarine Division 15 move Brisbane , Australia , take command Submarine Squadron 20 , lead late 1940 1942 "
2922,1939,Greece,"InNovember 1939 , Badoglio chief staff Italian arm force , post held force resign Decemb er 4 , 1940 , follow failure Italian force Greece "
2923,1939,Greece,"1939 , six state south line Alban ia , Greece , Bulgaria , European urkey , ugoslavia , southeastern Romania "
2924,1939,Greece,Greece South European nation 1939 population approximately 7.2 million 
2925,1939,Greece,"Greece , Navy late 1939 , Royal Hellenic Navy RHN relatively small force mostl obsole scent warship , date World War "
2926,1939,Greece,"1939 , Yugoslavia population 16 million border Adriatic Sea Italy west Austria north Hungary , Roman ia , Bulgaria east Greece Albania south "
2927,1939,Greece,Oberleutnant zur See Second Lieutenant Leutnant Ensign Leutnant zur See Master Ser geant First Ser geantStabsfeldwebel Chief Petty ficer Stabsoberbootsmann Technical Ser geant Oberfeldwebel Petty ficer First ClassOberbootsmann Stabsbootsmann Staff Ser geant Technician 3rd GradeFeldwebel WachtmeisterPetty ficer Second ClassBootsmann Unterfeldwebel Oberbootsmannmaat Sergeant Technician 4th GradeUnterof fizier Petty ficer Third ClassBootsmannmaat Stabsgefreiter Matrosenoberstabsgefreiter Corporal Technician 5th GradeOber gefreiter Seaman First Class Matrosenstabsgefreiter Gefreiter Matrosenhauptgefreiter Ptivate First Class Oberchtze Seaman Second Class Matrosenober gefreiter Matrosengefreiter Private Flieger Seaman Third Class Matrose Table 3 Comparison Ranks Armies W orld W ar II United States Germany Germany W affenSS Great Britain Officers Reichsmarschall General ArmyGeneralfeldmarschall Reichsfhrer SS Field Marshal General Generaloberst Oberstgruppenfhrer General Lieutenant GeneralGeneral der Infantrie General der Artillerie General der Kavallerie General der Panzer TruppenOber gruppenfhrer Lieutenant General Major General Generalleutnant Gruppenfhrer Major General Brigadier GeneralGeneralmajor Brigadefhrer Brigadier Oberfhrer Colonel Oberst Standartenfhrer Colonel Lieutenant ColonelOberstleutnant Obersturmbannfhrer Lieutenant Colonel Major Major Sturmbannfhrer Major Captain Hauptmann Rittmeister CavalryHauptsturmfhrer Captain First Lieutenant Oberleutnant Obersturmfhrer Lieutenant Second Leutnant Untersturmfhrer SecondLieutenant Lieutenant Enlisted Master Ser geant First Ser geantStabsfeldwebel Sturmscharfhrer Warrant ficer Class 1 Technical SergeantOberfeldwebel Hauptscharfhrer Warrant ficer Class 2 Warrant ficer Class 3 Staff Ser geant Technician 3rd GradeFeldwebel Wachtmeister Cavalry ArtilleryOberscharfhrer Staff Ser geant Unterfeldwebel Scharfhrer Sergeant Technician 4th GradeUnterof fizier Unterfhrer Sergeant Stabsgefreiter Corporal Technician 5th GradeOber gefreiter Corporal Bombardier Artillery Gefreiter Rottenfhrer Lance Corporal Lance Bombardier Artillery Ptivate First ClassOberchtze Sturmmann Private Schtze SSMann Private Gunner Trooper Sapper India Indigenous TroopsFrance Soviet Union Italy Poland Marshal Sovetskogo Maresciallo dellImpero Soyuza Marchal de FranceGlavny Marshal Maresciallo dItaliaMarszalek Polski Marshal Generale dArmata Gnral dArme General Armiyi Generale di Copro dArmata Comandante Designato dArmata Gnral de Corps dArmeGeneral Polkovnik Generale di Corpo dArmataGeneral Broni Gnral de DivisionGeneral Leytenant Generale di DivisioneGeneral Dywizji Gnral de BrigadeGeneral Major Generale de BrigataGeneral Brygady Colonel Polkovnik Colonnello Pulkownik Lieutanant Colonel Podpolkovnik Tenente ColonnelloPodpulkownik Commandant Chef de Bataillon Infantry Chef dEscadron Cavalry ArtilleryMajor Maggiore Major Subedar Major Infantry Rissaldar Major CavalryCapitaine Kapitan Primo Capitano Kapitan Starshiyi LeytenantCapitano Subedar Infantry Rissaldar CavalryLieutenant Leytenant Primo enente Porucznik Jemedar Infantry Jebedar CavalrySousLieutenant Mladshiy LeytenantTenente Podporucznik Sottotenente AdjudantChef Starshina Sergente Maggiore Chorazy Adjudant Starshiy Serzhant Starszy SierzantHavildar Major Infantry KotDaf fadar Cavalry SergentChef Serzhant Sergente Sierzant Sergent Comptable Havildar Infantry Daffadar CavalrySergent Mladshiy Serzhant Corporale MaggiorePlutonowy CaporalChef Naik Infantry LanceDaf fadar CavalryCaporal Yefreyto Corporale Kapral LanceNaik Infantry Acting Lance Daffadar Cavalry Soldat de 1re Classe Appuntato Starszy Szeregowiec Sepoy Infantry Sowar CavalrySoldat de 2me ClasseKrasnoarmeyets Soldato Szeregowiec Bulgaria Croatia Finland Hungary Officers Vojskovodja Sotamarsalkka Tbornagy General Pjesastva Infantry General opnistva Artillery General Konjanistva Cavalry General Kenraali Vezrezredes GeneralLeytenant Podmarsal Kenraaliluutnantti Altbornagy GeneralMajor General Kenraalimajuri Vezrornagy Polkovik Pukovnik Eversti Ezredes Podpolkovik Podpukovnik Everstiluutnantti Alezredes Major Bojnik Majuri rnagy Nadsatnik Satnik Kapteeni Szzados Kapitan Porucik Natporunik Luutnantti Fohadnagy Podporucik Porunik Vnrikki Hadnagy Enlisted Zastavnik Vpeli Fotzsrmester asniki NamjesnikYlikersantti Tzsrmester Feldfebel Stoerni Narednik Kersantti rmester Podofitiser Narednik Szadaszvezet Kandidat Podofitiser Alikeersantti Vodnik Korpraali Tizedes Razvodnik Efreitor Desetnik rvezet Rednik Domobran Sotamies Honvd Romania Slovakia Greece Japan China Maresal al Romnia Stratigos Gensui Techihshang chaing General de Armat Archistratigos Taisho Ichishang chaing General de Corp Erhchishangde Armat chaing General de Divizie General riedy Antistratigos Chujo Chungchaing General de BrigadGeneral II riedy Ypostratigos Shosho Shaochaing Colonel Plukovnik Syntanmatarchis Tiasa Shanghsiao Locotenent ColonelPodplukovnik Antisyntanmatarchis Chusa Chunghsiao Maior Major Tagmatarchis Shosa Shaohsiao Cpitan Stotnik Lochagos Tiai Shangwei Locotenent Nadporocik Ypolochagos Chui Chungwei Sublocotenent Porocik Anthypolochagos Shoi Shaowei Plutonier Adjutant Dostojnicky ZastupcaMonimos AnthypaspistisSocho Shangshih Plutonier Maior Plutonier Gunso Sergent Maior Zastavnik Monimos Epilochias Chungshih Sergent Rotnik Monimos Lochias Gocho Hsiashih Caporal Catnik Monimos Dekaneus Gocho Kimmi Jotohei Efredos Dekaneus Jotohei Shangtengping Fruntas Desiatnik Ittohei Itengping Nitohei Erhtengping Soldat Desiatnik Stratiotis Heisotsu Binshih Table 4 Comparison Ranks Air ce W orld W ar II United States Germany Great Britain Officers Reichsmarschall General Army Generalfeldmarschall Marshal Royal Air Force General Generaloberst Air Chief Marshal Lieutenant General General der Flieger General der Flak Truppen General der FallschrimjgerAir Marshal Major General Generalleutnant Air V ice Marshal Brigadier General Generalmajor Air Commodore Colonel Oberst Group Captain Lieutenant Colonel Oberstleutnant Wing Commander Major Major Squadron Leader Captain Hauptmann Flight Lieutenant First Lieutenant Oberleutnant Flying ficer Second Lieutenant Leutnant Pilot ficer Enlisted Master Ser geant First SergeantStabsfeldwebel Warrant ficer Class 1 Technical Ser geant Oberfeldwebel Warrant ficer Class 2 Staff Ser geant Technician 3rd GradeFeldwebel Wachtmeister Air Defense ArtilleryFlight Ser geant Unterfeldwebel Sergeant Technician 4th GradeUnterof fizier Sergeant Stabsgefreiter Corporal Technician 5th GradeOber gefreiter Corporal Gefreiter Leading Aircraftman Ptivate First Class Oberchtze Private Flieger Aircraftman France Soviet Union Italy Poland Glavny Marshal AviatsijyiMaresciallo dell via Marshal viatsiyi Generale dArmata Aerea Gnral dArme ArienneGeneral Armiyi Generale di Copro dArmata Aerea Gnral de Corps ArienneGeneral Polkovnik Generale di Squadra AereaGeneral Broni Gnral de Division ArienneGeneral Leytenant Generale di Divisione AereaGeneral Dywizji Gnral de Brigade ArienneGeneral Major Generale de Brigata AereaGeneral Brygady Colonel Polkovnik Colonnello Pulkownik Lieutanant Colonel Podpolkovnik Tenente Colonnello Podpulkownik Commandant Major Maggiore Major Capitaine Kapitan Primo Capitano Kapitan Starshiyi Leytenant Capitano Lieutenant Leytenant Primo enente Porucznik SousLieutenant Mladshiy Leytenant Tenente Podporucznik Sottotenente AdjudantChef Starshina Sergente Maggiore Chorazy Adjudant Starshiy Serzhant Starszy Sierzant SergentChef Serzhant Sergente SierzantSergentComptable Sergent Mladshiy Serzhant Plutonowy CaporalChef Caporal Yefreyto Primo viere Kapral Soldat de 1re Classe Aviero Scelto Starszy Szeregowiec Soldat de 2me Classe Krasnoarmeyets Aviere Szeregowiec Bulgaria Finland Hungary Officers General Kenraali GeneralLeytenant Kenraaliluutnantti Altbornagy GeneralMajor Kenraalimajuri Vezrornagy Polkovik Eversti Ezredes Podpolkovik Everstiluutnantti Alezredes Major Majuri rnagy Nadsatnik Kapteeni Szzados Kapitan Porucik Luutnantti Fohadnagy Podporucik Vnrikki Hadnagy Enlisted Vpeli Fotzsrmester Ylikersantti Tzsrmester Feldfebel Kersantti rmester Podofitiser Szadaszvezet Kandidat Podofitiser Alikeersantti Korpraali Tizedes Efreitor rvezet Rednik Sotamies Honvd Romania Greece Japan China Pterarchos Taisho Shangchaing General Comandant Antipterarchos Chujo Chungchaing General de Escadra Ypopterarchos Shosho Shaochaing Taxiarchos Aeroporias Comandor Sminarchos Tiasa Shanghsiao CapitanComandor Antisminarchos Chusa Chunghsiao LocotenentComandor Episminagos Shosa Shaohsiao Cpitan Sminagos Tiai Shangwei Locotenent Yposminagos Chui Chungwei Sublocotenent Anthyposminarchos Shoi Shaowei Adjutant Sef viator Archisminias Socho Shangshih Adjutant Maior viator Adjutant viator Gunso Adjutant Stagiar AviatorEpisminias Chungshih Sergent Sminias Gocho Hsiashih Caporal Yposminias Gocho Kimmi Jotohei Yposminias B Jotohei Shangtengping Fruntas Ittohei Itengping Nitohei Erhtengping Soldat Sminitis Heisotsu Binshih Table 5 Comparison Ranks Navies W orld W ar II United States Germany Great Britain Officers Fleet Admiral Grossadmiral Admiral Fleet Admiral Generaladmiral Admiral Vice Admiral Admiral ViceAdmiral Rear Admiral Vizeadmiral Rear Admiral Commodore Konteradmiral Commodore First Class Kommodore Commodore Second Class Captain Kapitn zur See Captain Commander Frigattenkapitn Commander Lieutenant CommanderKorvettenkapitn Lieutenant Commander Lieutenant Kapitnleutnant Lieutenant Lieutenant Junior GradeOberleutnant zur See SubLieutenant Ensign Leutnant zur See Commissioned W arrant Officer Enlisted Chief Petty ficer Stabsoberbootsmann Warrant ficer Petty ficer First ClassOberbootsmann Chief Petty ficer Stabsbootsmann Petty ficer Second ClassBootsmann Petty ficer Oberbootsmannmaat Petty ficer Third ClassBootsmannmaat Leading Seaman Matrosenoberstabsgefreiter Seaman First Class Matrosenstabsgefreiter Leading Seaman II Matrosenhauptgefreiter Seaman Second Class Matrosenober gefreiter Able Seaman Matrosengefreiter Seaman Third Class Matrose Ordinary Seaman France Soviet Union Italy Grande Ammiraglio Amiral de la Flotte Admiral Flota Ammiraglio dArmata Ammiraglio designato dArmata Amiral V iceAmiral Commandant en ChefAdmiral Ammiraglio di Squadra ViceAmiral Vitse Admiral Ammiraglio di Divisione Contre Amiral Kontr Admiral Contrammiraglio Capitaine de V aisseau Kapitan Prevogo Ramga Capitano di V ascello Capitaine de Frgate Kapitan Vtorogo Ramga Capitano di Fregata Capitaine de Corvette Kapitan retyego Ramga Capitano di Corvetta Lieutenant de V aisseau Kapitan Leytenant Primo enente Enseigne de V aisseau de 1re ClasseLeytenant Tenente di V ascello Enseigne de V aisseau de 2me ClasseMladshiy Leytenant Sottotenente di V ascello Matre Principal Starshina Secondo Capo Premier Matre Glavnyy Starshina Matre Deuxime Matre Starshina Pervoy Stati Sottocapo Deuxime Matre II Quartier Matre de 1re Classe Starshina Vtoroy Stati Marinaio Comune di la classe Quartier Matre de 2me Classe Starshiy Krasnoflotets Marinaio Comune di 2a classe Marinaio Comune di 3a classe Matelot Brevet Matelot Krasnoflotets Marinaio Comune Poland Bulgaria Finland Officers Admiral Admiral Amiraal Wiceadmiral VitzeAdmiral VaraAmiraali Kontradmiral Kontr Admiral KontraAmiraali Komador Kapitan Rang Kommodori Komador Podporucznik Kapitan II Rang Komentaja Kapitan Marynarki Komentajakapteeni Porucznik Marynarki Kapitanliutenant Kapteeniluutnaatti Mitschman Rang Luutnantti Podporucznik MarynarkiMitschman II Rang Aliluutnantti Enlisted Chorazy Konduktor Pursimies Starszy Bosman Korabnik Alikersantti Bosman Podofitser Ylikersanti Bosmanmat Kandidat Podofitser Kersantti Mat Efreitor Ylimatruusi Starszy Marynarz Marynarz Morjak Matruusi Romania Greece Japan China Archinvorchos Nvarchos Kaigun aisho Haitzuin Shantzian Amiral Haitzuin Chzhuntzian ViceAmiral Antinvarchos Kaigun Chujo Haitzuin Shaotzian ContraAmiral Ypovarchos Kaigun Shosho Haitzuin aichaing Comandor Pluiarchos Kaigun aisa Haitzuin Shantzo CapitanComandor Antipluiarchos Kaigun Chusa Haitzuin Chzhuntzo LocotenentComandor Plutatarchos Kaigun Shosa Haitzuin ShaotzoCapitan de Marina Ypopliarchos Kaigun aii Haitzuin Shangwei Locotenent de Marina Antiplupliarchos Kaigun Chui Haitzuin Chungwei Semaiphros Kaigun Shoi Haitzuin Shaowei Plutonier Maior Archikeleustes Jotoheiso Haitzuin Shih Plutonier Archikeleustes B Keleustes Ittoheiso Sergent Maior Ypokeleustes Haitzuin Chongshih Ypokeleustes B Sergent Dkimos pokeleustes Nitoheiso Haitzuin Hsiaoshih Caporal Diopos Yedingping Heicho Erhdengping Marinar Frinklas Nftis Jotohei Sandengpeng Ittohei Yidenglienping Marinar Nftis B Siuhei Erhdenglienping Table 6 Comparison Ranks Marines United States Gr eat Britain United States Great Britain Officers General General Lieutenant General LieutenantGeneral Major General Major General Brigadier General Brigadier Colonel Colonel Lieutenant Colonel LieutenantColonel Major Major Captain Captain First Lieutenant Lieutenant Second Lieutenant Second Lieutenant Enlisted Master Gunnery Ser geant First Ser geant Master echnical Ser geantWarrant ficer Class 1 Gunnery Ser geant Technical Ser geantWarrant ficer Class 2 Platoon Ser geant Staff Ser geantColour Ser geant Sergeant Sergeant Corporal Corporal Lance Corporal Ptivate First Class Private MarineC h r n l g September 1939 1 Germany invades Poland 
2930,1939,Greece,", 730731 Civil W ar , 731 country bordering , 730 effect W orld W ar II , 730 famine disease loss , 730 Greek People Liberation Army , 731 Hitler invasion , 730 island , 730 Italian invasion Albania , 730 Jewish community Holocaust , 731 location , 730Metaxas , Ioannis , 730 National Liberation Front , 731 National Republican Greek League , 731 Papandreou , Geor ge , 731 population 1939 , 730 resistance group , 731 Greece , Air Force , 731732 aircraft , 731 Albanian front , 731 control , 731 Greek governmentinexile , 731 replacement part , 731 size , 731 squadron , 731 Greece , Army , 732 19401941 campaign , 732 casualty count , 732 commander , 732 Italian invasion Albania , 732 motorize division , 732 Number division , 732 number men , 732 political infighting , 732 Royal Hellenic Army , 732 Third Mountain Brigade , 732 Greece , Navy , 732733 component , 732 eastern Mediterranean , 732 handicap , 732 integration British Royal Navy , 732 late 1939 , 732 mutiny , 732 Greece Campaign , German April 630 , 1941 , 733735 commander , 733 consequence , 735 description , 733734 evacuation , 735 First Greek Army , 733 , 734 Force W British , 733 German aircraft attack Greek port Piraeus , 734 German invasion Greece Bulgaria , 733734 Koryzis , Alexandros , 735 loss , 735 map Greece Crete , 19401941 , 734 number great prisoner , 734 Operation DEMON , 735 precipitate event , 733 purpose , 7332nd Panzer Division , 734 Second Greek Army , 733 Greece Campaign , Italian October 28 , 1940March 1941 , 735737 Battle Cape Matapan , 737 British Commonwealth advance , 737 British fensive North Africa , 737 casualty count , 737 Cavallero , Ugo , 736 consequence Italian failure , 736 description , 736737 Greek resistance , 736 Hitler , Adolf , , 736 Italian retreat , 737 Italian ultimatum , 736 Mussolini , Benito , 735 , 736 , 737 Papagos , Alexandros , 736 precipitate event , 735736 strength force , 736 ViscontiPrasca , Sebastiano , 736 Greer , attack September 4 , 1941 , 738 armament , 738 description , 738 Roosevelt , Franklin D"
2933,1939,Bulgaria,"1939 , six state south line Alban ia , Greece , Bulgaria , European urkey , ugoslavia , southeastern Romania "
2934,1939,Bulgaria,"1939 , Bulgaria population approximately 6,340,000 people "
2935,1939,Bulgaria,"Carol unable protect Romania effect GermanSoviet Non Aggression Pact August 1939 , however , force cede part Transylvania Hungary , Bessa rabia Soviet Union , southern Dobruja region Bulgaria "
2936,1939,Bulgaria,"1939 , Yugoslavia population 16 million border Adriatic Sea Italy west Austria north Hungary , Roman ia , Bulgaria east Greece Albania south "
